,Мониторинг реализации мероприятий по снижению смертности от ишемической болезни сердца,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
11,1.2.1,"тираж буклетов, брошюр по проблеме",единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х
12,1.3,"социальная реклама, в том числе видеоролики ",единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х
13,1.4,телевизионные передачи,единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х
14,1.5,анкетирование населения,единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х
15,1.5.1,число анкет,единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х
16,1.6, другое,единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х
17,2,"Число граждан, охваченных кампанией и мотивированных на ведение здорового образа жизни ",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х
18,3,"Число лиц, отказавшихся от курения по данным опроса  граждан, охваченных кампанией по пропаганде здорового образа жизни",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х
19,4,"Число больных артериальной гипертонией, достигших целевого уровня АД ≤ 140/90 мм рт ст. по данным анализа в 10 поликлиниках суммарно не менее 600 амбулаторных карт больных артериальной гипертонией группой независимых экспертов под руководством главного терапевта или главного кардиолога региона и центров здоровья/центров медицинской профилактики  ",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х
20,5,Число проанализированных амбулаторных карт больных артериальной гипертонией группой независимых экспертов под руководством главного терапевта или главного кардиолога региона и центров здоровья/центров медицинской профилактики (в целом не менее 600),количество,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х
21,Показатели для раздела 2. Вторичная профилактика ИБС,,,,,,,,,,,,,,
22,6,"Число больных, состоящих на  диспансерном наблюдении по поводу ишемической болезни сердца (МКБ-10: I20-I25). ",человек,1 раз в месяц,,,,,,,,,,,
23,7,Общеее число зарегистрированных больных с ишемической болезнью сердца (МКБ-10: I20- I25),человек,1 раз в месяц,,,,,,,,,,,
24,8,"Число больных, взятых под диспансерное наблюдение по поводу ишемической болезнью сердца и прошедших обучение в школах пациентов (МКБ-10: I20-I25)",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х
25,9,"Число пациентов, перенесших острый коронарный синдром (МКБ-10: I20.0; I21; I22; I24), а также постинфарктный кардиосклероз, зарегистрированный в текщем году (I25.2, I25.8 ), взятых под диспансерное наблюдение по поводу данного заболевания",человек,1 раз в месяц,,,,,,,,,,,
26,10,"Число зарегистрированных пациентов, перенесших острый коронарный синдром (МКБ-10: I20.0; I21; I22; I24) , а также постинфарктный кардиосклероз, зарегистрированный в текщем году (I25.2, I25.8 ).",случаев,1 раз в месяц,,,,,,,,,,,
27,11,"Число больных, перенесших острый коронарный синдром   (МКБ-10: I20.0; I21; I22; I24) и получивших реабилитационную помощь на первом этапе медицинской кардиореабилитации",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х
28,11.1,Из них: число больных в трудоспособном возрасте ,человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х
29,12,"Число  больных, перенесших острый коронарный синдром   (МКБ-10: I20.0; I21; I22; I24) и получивших реабилитационную помощь на втором этапе медицинской кардиореабилитации",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х
30,12.1,Из них: число  больных в трудоспособном возрасте ,человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х
31,13,"Число  больных, перенесших острый коронарный синдром   (МКБ-10: I20.0; I21; I22; I24) и получивших реабилитационную помощь на третьем этапе медицинской кардиореабилитации",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х
32,13.1,Из них: число  больных в трудоспособном возрасте ,человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х
33,Показатели для раздела 3. Оказание медицинской помощи при ИБС,,,,,,,,,,,,,,
34,14,Число кардиологических коек в субъекте ,количество,1 раз в квартал,Х,Х,60,Х,Х,60,Х,Х,60,Х,Х
35,15,Число кардиохирургических коек в субъекте,количество,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х
36,16,Число коек сосудистой хирургии в субъекте,количество,1 раз в полугодие,Х,Х,Х,Х,Х,35,Х,Х,Х,Х,Х
37,17,Число врачей кардиологов в субъекте,человек,1 раз в полугодие,Х,Х,Х,Х,Х,13,Х,Х,Х,Х,Х
38,18,Число сердечно-сосудистых хирургов в субъекте,человек,1 раз в полугодие,Х,Х,Х,Х,Х,8,Х,Х,Х,Х,Х
39,19,Число врачей по рентгенэндоваскулярным диагностике и лечению в субъекте,человек,1 раз в полугодие,Х,Х,Х,Х,Х,6,Х,Х,Х,Х,Х
40,20,"Число штатных должностей врачей-кардиологов в подразделениях, оказывающих медицинскую помощь в амбулаторных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,2,Х,Х,Х,Х,Х
41,21,"Число занятых должностей врачей-кардиологов в подразделениях, оказывающих медицинскую помощь в амбулаторных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,2,Х,Х,Х,Х,Х
42,22,"Число врачей-кардиологов (физических лиц на занятых должностях) в подразделениях, оказывающих медицинскую помощь в амбулаторных условиях",человек,1 раз в полугодие,Х,Х,Х,Х,Х,1,Х,Х,Х,Х,Х
43,23,"Число штатных должностей врачей-кардиологов в  подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,13.5,Х,Х,Х,Х,Х
44,24,"Число занятых должностей врачей-кардиологов в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,13.5,Х,Х,Х,Х,Х
45,25,"Число врачей-кардиологов (физических лиц на занятых должностях) в подразделениях, оказывающих медицинскую помощь в стационарных условиях",человек,1 раз в полугодие,Х,Х,Х,Х,Х,12,Х,Х,Х,Х,Х
46,26,"Число штатных должностей  сердечно-сосудистых хирургов  в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,10.5,Х,Х,Х,Х,Х
47,27,"Число занятых должностей сердечно-сосудистых хирургов  в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,10.5,Х,Х,Х,Х,Х
48,28,"Число сердечно-сосудистых хирургов (физических лиц на занятых должностях)  в подразделениях, оказывающих медицинскую помощь в стационарных условиях",человек,1 раз в полугодие,Х,Х,Х,Х,Х,7,Х,Х,Х,Х,Х
49,29,"Число штатных должностей врачей по рентгенэндоваскулярным  диагностике и лечению в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,12.75,Х,Х,Х,Х,Х
50,30,"Число занятых должностей врачей по рентгенэндоваскулярным  диагностике и лечению в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,12.75,Х,Х,Х,Х,Х
51,31,"Число врачей по рентгенэндоваскулярным диагностике и лечению  (физических лиц на занятых должностях) в подразделениях, оказывающих медицинскую помощь в стационарных условиях",человек,1 раз в полугодие,Х,Х,Х,Х,Х,6,Х,Х,Х,Х,Х
52,32,"Число всех выездов бригад скорой медицинской помощи при остром коронарном синдроме (МКБ-10:  I20.0, I21, I22,  I24)",количество,1 раз в месяц,,,,,,,,,,,
53,32.1,Из них: число выездов бригад скорой медицинской помощи при остром коронарном синдроме со временем доезда до 20 минут   ,количество,1 раз в месяц,,,,,,,,,,,
54,33,"Число больных с острым коронарным синдромом с подъемом сегмента ST, доставленных в стационар бригадой скорой медицинской помощи ",человек,1 раз в месяц,56,70,108,148,193,222,256,314,341,372,409
55,34,"Число больных с острым коронарным синдромом с подъемом сегмента ST, госпитализированных в стационар в срок до 12 часов от начала боли ",человек,1 раз в месяц,48,55,92,133,171,198,230,276,301,330,363
56,34.1,"Из них: число больных с острым коронарным синдромом с подъемом сегмента ST, госпитализированных в стационар в сроки менее 2 часов от начала боли",человек,1 раз в месяц,15,23,30,46,48,75,75,93,101,117,124
57,35,"Среднее время ""симптом - баллон"" для больных с острым коронарным синдромом с подъемом сегмента ST, поступивших в стационар до 12 часов от начала боли, которым были выполнены экстренные (первичные) чрескожные коронарные вмешательства",минуты,1 раз в месяц,73,73,73,73,73,73,73,73,73,73,73
58,35.1,"Среднее время ""симптом - звонок СМП""",минуты,1 раз в месяц,38,38,38,38,38,38,38,38,38,38,38
59,35.2,"Среднее время ""звонок СМП - баллон""",минуты,1 раз в месяц,35,35,35,35,35,35,35,35,35,35,35
60,36,"Число больных с острым коронарным синдромом, поступивших в стационары субъекта",человек,1 раз в месяц,61,116,180,241,315,366,442,575,625,677,790
61,36.1," Из них: число больных с острым коронарным синдромом, поступивших в профильные отделения (региональные сосудистые центры и первичные сосудистые отделения) субъекта",человек,1 раз в месяц,61,116,180,241,315,366,442,575,625,677,790
62,36.2,"число больных с острым коронарным синдромом, осложненном кардиогенным шоком, поступивших в стационары субъкта",человек,1 раз в месяц,10,13,14,14,14,17,17,22,26,27,32
63,36.2.1,"из них: число больных с острым коронарным синдромом с подъемом сегмента ST, осложненном кардиогенным шоком, поступивших в стационары субъкта",человек,1 раз в месяц,5,8,9,9,9,12,12,16,20,21,25
64,36.2.2,"число больных с острым коронарным синдромом без подъема сегмента ST, осложненном кардиогенным шоком, поступивших в стационары субъкта",человек,1 раз в месяц,5,5,5,5,5,5,5,6,6,6,7
65,36.3,"число больных с острым коронарным синдромом с подъемом сегмента ST, поступивших в стационары субъкта",человек,1 раз в месяц,43,76,119,162,212,247,304,328,362,398,503
66,36.4,"число больных с острым коронарным синдромом без подъема сегмента ST, поступивших в стационары субъкта",человек,1 раз в месяц,18,40,61,79,103,119,138,247,263,279,287
67,36.4.1,"из них: число больных с острым коронарным синдромом без подъема сегмента ST высокого риска (GRACE ≥ 140), поступивших в стационары субъкта",человек,1 раз в месяц,16,30,46,57,76,90,107,168,172,187,195
68,36.4.2,"число больных с острым коронарным синдромом без подъема сегмента ST невысокого риска (GRACE < 140), поступивших в стационары субъкта",человек,1 раз в месяц,2,10,15,22,27,29,31,79,91,92,92
69,37,"Число больных с острым коронарным синдромом, переведенных из первичного сосудистого отделения в региональный сосудистый центр, которым выполнены чрескожные коронарные вмешательства ",человек,1 раз в месяц,5,7,12,14,20,23,31,34,41,44,48
70,38,"Число больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнен тромболизис, всего",человек,1 раз в месяц,,,,,,,,,,,
71,38.1,Из них: на догоспитальном этапе,человек,1 раз в месяц,,,,,,,,,,,
72,39,"Число ангиопластик коронарных артерий, проведенных в стационарах субъекта, всего",количество,1 раз в месяц,62,121,197,276,361,443,525,610,673,754,838
73,39.1,"Из них: число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом (нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,51,92,150,206,271,328,385,430,470,519,565
74,39.1.1,"Из них: число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом без подъема сегмента ST в(нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,14,29,49,64,84,109,112,133,144,160,168
75,39.1.1.1,"Из них: число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом без подъема сегмента ST высокого риска (GRACE ≥ 140) (нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,12,24,40,48,64,77,79,94,96,111,119
76,39.1.1.2,"число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом без подъема сегмента ST невысокого риска (GRACE < 140) (нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,2,5,9,16,20,32,33,39,48,49,49
77,39.1.2,"Число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом с подъемом сегмента ST (нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,37,63,101,142,187,219,273,297,326,359,397
78,39.1.2.1,"из них: число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом с подъемом сегмента ST, поступивших в стационар до 12 часов от начала боли ",количество,1 раз в месяц,28,55,91,122,158,182,212,248,274,301,332
79,39.1.2.2,"число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом с подъемом сегмента ST в течение 24 часов от момента введения тромболитического препарата ",количество,1 раз в месяц,35,62,68,135,175,204,237,274,295,295,327
80,39.1.3,"Число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом, осложненном кардиогенным шоком ",количество,1 раз в месяц,5,7,8,10,10,13,14,18,22,22,26
81,39.2,"Число ангиопластик коронарных артерий, проведенных больным  с хронической ИБС (без учета больных, которым выполнено лечение в рамках ОКС)",количество,1 раз в месяц,11,29,47,70,90,115,140,180,203,235,273
82,40,"Число проведенных операций  аорто-коронарного шунтирования на территории субъекта, всего",количество,1 раз в месяц,0,0,0,0,0,0,0,0,0,0,0
83,40.1,"Из них: число  операций,  проведенных больным с острым коронарным синдромом ",количество,1 раз в месяц,,,,,,,,,,,
84,40.1.1,"из них: число операций, проведенных больным с острым коронарным синдромом с подъемом сегмента ST в первые сутки от начала симптомов",количество,1 раз в месяц,,,,,,,,,,,
85,40.1.2,"число операций, проведенных больным с острым коронарным синдромом без подъема сегмента ST в первые трое суток госпитализации",количество,1 раз в месяц,,,,,,,,,,,
86,40.1.3,"число операций, проведенных больным с острым коронарным синдромом, осложненном кардиогенным шоком",количество,1 раз в месяц,,,,,,,,,,,
87,40.2," Число  операций, проведенных больным  с хронической ИБС (без учета больных, которым выполнено лечение в рамках ОКС) ",количество,1 раз в месяц,,,,,,,,,,,
88,41,Число проведенных операций - имплантаций  кардиостимулятора ,человек,1 раз в квартал,,23,42,61,73,90,113,132,151,168,181
89,42,"Число умерших больных в ствционаре, которым была выполнена ангиопластика коронарных артерий",человек,1 раз в месяц,,4,7,12,14,17,23,32,36,39,45
90,42.1,Из них: число умерших с острым коронарным синдромом,человек,1 раз в месяц,1,4,7,12,14,17,23,32,36,39,45
91,42.1.1,"Из них: число умерших больных с острым коронарным синдромом без подъема сегмента ST  (нестабильная стенокардия, острый и повторный инфаркт миокарда)",человек,1 раз в месяц,0,0,1,2,3,3,5,8,9,9,11
92,42.1.1.1,"Из них: число умерших больных с острым коронарным синдромом без подъема сегмента ST высокого риска (GRACE ≥ 140) (нестабильная стенокардия, острый и повторный инфаркт миокарда)",человек,1 раз в месяц,,,1,2,3,3,5,8,9,9,11
93,42.1.1.2,"число умерших больных с острым коронарным синдромом без подъема сегмента ST невысокого риска (GRACE < 140) (нестабильная стенокардия, острый и повторный инфаркт миокарда)",человек,1 раз в месяц,,,,,,,,,,,
94,42.1.2,"Число умерших больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнялись экстренные (первичные) чрескожные коронарные вмешательства",человек,1 раз в месяц,1,4,6,10,11,14,18,24,27,30,34
95,42.1.2.1,"число умерших больных с острым коронарным синдромом с подъемом сегмента ST, поступивших в стационар до 12 часов от начала боли, которым выполнялись экстренные (первичные) чрескожные коронарные вмешательства",человек,1 раз в месяц,1,2,4,8,9,11,13,18,21,24,27
96,42.1.2.2,"число умерших больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнялись чрескожные коронарные вмешательства в течение 24 часов от моментв введения тромболитического препарата",человек,1 раз в месяц,,,,,,,,,,,
97,42.1.3,"Число больных с острым коронарным синдромом, осложненным кардиогенным шоком, умерших при проведении чрескожных коронарных вмешательств ",человек,1 раз в месяц,,,,,,,,,,,
98,42.1.4,"Число умерших больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнен тромболизис (на догоспитальном и госпитальном этапах)",человек,1 раз в месяц,,,,,,,,,,,
99,42.1.4.1,"Их них: число умерших больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнен тромболизис на догоспитальном этапе",человек,1 раз в месяц,,,,,,,,,,,
100,43,"Число умерших больных в стационаре,  которым была проведена операция  аорто-коронарного шунтирования ",человек,1 раз в месяц,,,,,,,,,,,
101,43.1,Из них: число умерших с острым коронарным синдромом ,человек,1 раз в месяц,,,,,,,,,,,
102,43.1.1,"Из них: число  больных с острым коронарным синдромом с подъемом сегмента ST, умерших при операции коронарного шунтирования, выполненного в первые сутки от начала симптомов ",человек,1 раз в месяц,,,,,,,,,,,
103,43.1.2,"число  больных с острым коронарным синдромом без подъема сегмента ST, умерших при операции коронарного шунтирования, выполненного в первые трое суток госпитализации ",человек,1 раз в месяц,,,,,,,,,,,
104,43.1.3,"число  больных с острым коронарным синдромом, осложненным кардиогенным шоком, умерших при операции коронарного шунтирования,",человек,1 раз в месяц,,,,,,,,,,,
105,44,"Число больных с острым коронарным синдромом (МКБ-10:  I20.0, I21, I22,  I24), умерших за весь период госпитализации",человек,1 раз в месяц,3,6,9,14,16,20,30,39,44,48,55
106,44.1,Из них: Число умерших больных с острым коронарным синдромом   с подъемом сегмента ST,человек,1 раз в месяц,3,6,8,12,13,17,24,30,34,38,43
107,44.2,Число умерших больных с острым коронарным синдромом   без подъема сегмента ST,человек,1 раз в месяц,0,0,1,2,3,3,6,9,10,10,12
108,44.2.1,Из них: число умерших больных с острым коронарным синдромом   без подъема сегмента ST в подгруппе высокого риска,человек,1 раз в месяц,,,1,2,3,3,6,9,10,10,12
109,44.2.2,число умерших больных с острым коронарным синдромом   без подъема сегмента ST в подгруппе невысокого риска,человек,1 раз в месяц,,,,,,,,,,,
110,44.3,"Число умерших больных с острым коронарным синдромом, осложненном кардиогенным шоком",человек,1 раз в месяц,1,2,2,3,3,4,6,10,13,13,16
111,44.3.1,"Из них: число умерших больных с острым коронарным синдромом с подъемом сегмента ST, осложненном кардиогенным шоком",человек,1 раз в месяц,1,2,2,3,3,4,5,8,10,10,12
112,44.3.2,"число умерших больных с острым коронарным синдромом без подъема сегмента ST, осложненном кардиогенным шоком",человек,1 раз в месяц,,,,,,,1,2,3,3,4
113,45,"Число больных с острым коронарным синдромом, умерших в первые сутки поступления в стационар",человек,1 раз в месяц,1,1,1,2,4,6,8,9,10,11,12
114,45.1,"Из них: число больных с острым коронарным синдромом без подъема сегмента ST, умерших в первые сутки поступления в стационар",человек,1 раз в месяц,,,,,,,,,,,
115,45.2,"число больных с острым коронарным синдромом с подъемом сегмента ST, умерших в первые сутки поступления в стационар",человек,1 раз в месяц,1,1,1,2,4,6,8,9,10,11,12
116,46,"Число патологоанатомических и судебно-медицинских вскрытий больных с острым коронарным синдромом, умерших в первые сутки поступления в стационар",количество,1 раз в месяц,1,1,1,2,4,6,8,9,10,11,12
117,46.1,Из них;число расхождений диагнозов,количество,1 раз в месяц,,,,,,,,,,,
118,47,"Число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром (МКБ-10:  I20.0, I21, I22,  I24)",человек,1 раз в месяц,61,116,180,241,315,366,431,575,625,677,790
119,47.1,"Из них: число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром с подъемом сегмента ST",человек,1 раз в месяц,43,76,119,162,212,247,293,328,362,398,503
120,47.2,"число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром без подъема сегмента ST",человек,1 раз в месяц,18,40,61,79,103,119,138,247,263,279,287
121,47.2.1,"Из них: число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром без подъема сегмента ST высокого риска (GRACE ≥ 140)",человек,1 раз в месяц,16,30,46,57,76,90,107,168,172,187,195
122,47.2.2,"число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром без подъема сегмента ST невысокого риска (GRACE <140)",человек,1 раз в месяц,2,10,15,22,27,29,31,79,91,92,92
123,47.3,"Число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром, осложненный кардиогенным шоком ",человек,1 раз в месяц,5,8,9,11,11,15,17,22,26,27,30
124,47.3.1,"Из них: число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром с подъемом сегмента ST, осложненный кардиогенным шоком ",человек,1 раз в месяц,5,8,9,10,10,14,15,19,22,23,25
125,47.3.2,"число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром без подъема сегмента ST, осложненный кардиогенным шоком ",человек,1 раз в месяц,,,,1,1,1,2,3,4,4,5
126,48,"Число больных с  острым и повторным инфарктом миокарда, умерших в стационарах субъекта    
",человек,1 раз в месяц,3,6,9,14,16,20,29,38,43,47,54
127,49,"Число выбывших (выписано+умерло) больных с  острым и повторным инфарктом миокарда  из стационаров субъекта  
",человек,1 раз в месяц,51,98,143,185,247,290,364,479,527,571,680
128,50,"Число больных с  острым и повторным инфарктом миокарда, умерших вне стационара
",человек,1 раз в месяц,,,,,,,,,,,
129,50.1,"Из них: число патологоанатомических и судебно-медицинских вскрытий больных с острым и повторным инфарктом миокарда, умерших  вне стационара",количество,1 раз в месяц,,,,,,,,,,,
130,50.1.1,Из них: число расхождений диагнозов ,количество,1 раз в месяц,,,,,,,,,,,
131,51,"Число  больных с  острым и повторным инфарктом миокарда, умерших  в первичных сосудистых отделениях    ",человек,1 раз в месяц,,,,,,,,,,,
132,52,"Число выбывших (выписано+умерло) больных с острым и повторным инфарктом миокарда из первичных сосудистых отделений
",человек,1 раз в месяц,,,,,,,,,,,
133,53,"Число  больных с  острым и повторным инфарктом миокарда, умерших  в региональных сосудистых центрах  
",человек,1 раз в месяц,3,6,9,14,16,20,29,38,43,47,54
134,54,"Число выбывших (выписано+умерло) больных с  острым и повторным инфарктом миокарда из региональных сосудистых центров
",человек,1 раз в месяц,51,98,143,185,247,290,364,479,527,571,680
135,Показатели для раздела 4. Мониторинг некоторых показателей,,,,,,,,,,,,,,
136,55,"Число больных ишемической болезнью сердца, выявленных впервые (МКБ-10: I20-I25)",человек,1 раз в месяц,,,,,,,,,,,
137,56,Число больных с нестабильной стенокардией (МКБ-10: I20.0),человек,1 раз в месяц,,,,,,,,,,,
138,57,"Число пациентов с инфарктом миокарда (МКБ-10: I21, I22) и с постинфарктным кардмосклерозом (I25.2, I25.8), зарегистрированные в текущем году",человек,1 раз в месяц,,,,,,,,,,,
139,58,Число больных с другими формами острых ишемических болезней сердца (МКБ-10: I24),человек,1 раз в месяц,,,,,,,,,,,
140,59,"Число больных, умерших от основной причины ""Ишемическая болезнь сердца"" (МКБ-10: I20-I25)",человек,1 раз в месяц,3,7,11,18,21,25,34,43,48,54,62
141,59.1,Из них: число умерших в трудоспособном возрасте,человек,1 раз в месяц,,,,,1,2,2,2,2,2,2
142,60,"Число патологоанатомических и судебно-медицинских вскрытий больных, умерших  от ишемической болезни сердца (МКБ-10: I20-I25)",количество,1 раз в месяц,3,7,11,18,21,25,34,43,48,54,61
143,60.1,"Из них, число расхождений диагнозов",количество,1 раз в месяц,,,,,,,,,,,
144,61,Число умерших больных с острым коронарным синдромом   (МКБ-10: I20.0; I21; I22; I24),человек,1 раз в месяц,3,6,9,14,16,20,30,39,44,48,55
145,61.1,Из них: число умерших в трудоспособном возрасте ,человек,1 раз в месяц,,,,,1,1,1,1,1,1,1
146,62,"Число умерших больных с острым или повторным инфарктом миокарда (МКБ-10: I21, I22)",человек,1 раз в месяц,3,6,9,14,16,20,29,38,43,47,54
147,62.1,"Из них, число умерших в трудоспособном возрасте ",человек,1 раз в месяц,,,,,1,1,1,1,1,1,1
148,63,Число сохраненных жизней,человек,1 раз в месяц,,,,,,,,,,,
149,"""Число сохраненных жизней"" рассчитывается как разница между числом умерших от указанной причины за отчетный период прошлого года и числа умерших от указанной причины за отчетный период этого года",,,,,,,,,,,,,,
