,Мониторинг реализации мероприятий по снижению смертности от ишемической болезни сердца,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
10,1.2,"буклеты, брошюры по проблеме",единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
11,1.2.1,"тираж буклетов, брошюр по проблеме",единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
12,1.3,"социальная реклама, в том числе видеоролики ",единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
13,1.4,телевизионные передачи,единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
14,1.5,анкетирование населения,единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
15,1.5.1,число анкет,единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
16,1.6, другое,единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
17,2,"Число граждан, охваченных кампанией и мотивированных на ведение здорового образа жизни ",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
18,3,"Число лиц, отказавшихся от курения по данным опроса  граждан, охваченных кампанией по пропаганде здорового образа жизни",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
19,4,"Число больных артериальной гипертонией, достигших целевого уровня АД ≤ 140/90 мм рт ст. по данным анализа в 10 поликлиниках суммарно не менее 600 амбулаторных карт больных артериальной гипертонией группой независимых экспертов под руководством главного терапевта или главного кардиолога региона и центров здоровья/центров медицинской профилактики  ",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
20,5,Число проанализированных амбулаторных карт больных артериальной гипертонией группой независимых экспертов под руководством главного терапевта или главного кардиолога региона и центров здоровья/центров медицинской профилактики (в целом не менее 600),количество,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
21,Показатели для раздела 2. Вторичная профилактика ИБС,,,,,,,,,,,,,,,
22,6,"Число больных, состоящих на  диспансерном наблюдении по поводу ишемической болезни сердца (МКБ-10: I20-I25). ",человек,1 раз в месяц,,,,,,,,,,,,
23,7,Общеее число зарегистрированных больных с ишемической болезнью сердца (МКБ-10: I20- I25),человек,1 раз в месяц,,,,,,,,,,,,
24,8,"Число больных, взятых под диспансерное наблюдение по поводу ишемической болезнью сердца и прошедших обучение в школах пациентов (МКБ-10: I20-I25)",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
25,9,"Число пациентов, перенесших острый коронарный синдром (МКБ-10: I20.0; I21; I22; I24), а также постинфарктный кардиосклероз, зарегистрированный в текщем году (I25.2, I25.8 ), взятых под диспансерное наблюдение по поводу данного заболевания",человек,1 раз в месяц,,,,,,,,,,,,
26,10,"Число зарегистрированных пациентов, перенесших острый коронарный синдром (МКБ-10: I20.0; I21; I22; I24) , а также постинфарктный кардиосклероз, зарегистрированный в текщем году (I25.2, I25.8 ).",случаев,1 раз в месяц,,,,,,,,,,,,
27,11,"Число больных, перенесших острый коронарный синдром   (МКБ-10: I20.0; I21; I22; I24) и получивших реабилитационную помощь на первом этапе медицинской кардиореабилитации",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
28,11.1,Из них: число больных в трудоспособном возрасте ,человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
29,12,"Число  больных, перенесших острый коронарный синдром   (МКБ-10: I20.0; I21; I22; I24) и получивших реабилитационную помощь на втором этапе медицинской кардиореабилитации",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
30,12.1,Из них: число  больных в трудоспособном возрасте ,человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
31,13,"Число  больных, перенесших острый коронарный синдром   (МКБ-10: I20.0; I21; I22; I24) и получивших реабилитационную помощь на третьем этапе медицинской кардиореабилитации",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
32,13.1,Из них: число  больных в трудоспособном возрасте ,человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
33,Показатели для раздела 3. Оказание медицинской помощи при ИБС,,,,,,,,,,,,,,,
34,14,Число кардиологических коек в субъекте ,количество,1 раз в квартал,Х,Х,60,Х,Х,60,Х,Х,60,Х,Х,
35,15,Число кардиохирургических коек в субъекте,количество,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
36,16,Число коек сосудистой хирургии в субъекте,количество,1 раз в полугодие,Х,Х,Х,Х,Х,35,Х,Х,Х,Х,Х,
37,17,Число врачей кардиологов в субъекте,человек,1 раз в полугодие,Х,Х,Х,Х,Х,14,Х,Х,Х,Х,Х,
38,18,Число сердечно-сосудистых хирургов в субъекте,человек,1 раз в полугодие,Х,Х,Х,Х,Х,8,Х,Х,Х,Х,Х,
39,19,Число врачей по рентгенэндоваскулярным диагностике и лечению в субъекте,человек,1 раз в полугодие,Х,Х,Х,Х,Х,6,Х,Х,Х,Х,Х,
40,20,"Число штатных должностей врачей-кардиологов в подразделениях, оказывающих медицинскую помощь в амбулаторных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,2.25,Х,Х,Х,Х,Х,
41,21,"Число занятых должностей врачей-кардиологов в подразделениях, оказывающих медицинскую помощь в амбулаторных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,2.25,Х,Х,Х,Х,Х,
42,22,"Число врачей-кардиологов (физических лиц на занятых должностях) в подразделениях, оказывающих медицинскую помощь в амбулаторных условиях",человек,1 раз в полугодие,Х,Х,Х,Х,Х,3,Х,Х,Х,Х,Х,
43,23,"Число штатных должностей врачей-кардиологов в  подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,14.5,Х,Х,Х,Х,Х,
44,24,"Число занятых должностей врачей-кардиологов в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,14.5,Х,Х,Х,Х,Х,
45,25,"Число врачей-кардиологов (физических лиц на занятых должностях) в подразделениях, оказывающих медицинскую помощь в стационарных условиях",человек,1 раз в полугодие,Х,Х,Х,Х,Х,11,Х,Х,Х,Х,Х,
46,26,"Число штатных должностей  сердечно-сосудистых хирургов  в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,10.5,Х,Х,Х,Х,Х,
47,27,"Число занятых должностей сердечно-сосудистых хирургов  в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,10.5,Х,Х,Х,Х,Х,
48,28,"Число сердечно-сосудистых хирургов (физических лиц на занятых должностях)  в подразделениях, оказывающих медицинскую помощь в стационарных условиях",человек,1 раз в полугодие,Х,Х,Х,Х,Х,7,Х,Х,Х,Х,Х,
49,29,"Число штатных должностей врачей по рентгенэндоваскулярным  диагностике и лечению в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,12.75,Х,Х,Х,Х,Х,
50,30,"Число занятых должностей врачей по рентгенэндоваскулярным  диагностике и лечению в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,12.75,Х,Х,Х,Х,Х,
51,31,"Число врачей по рентгенэндоваскулярным диагностике и лечению  (физических лиц на занятых должностях) в подразделениях, оказывающих медицинскую помощь в стационарных условиях",человек,1 раз в полугодие,Х,Х,Х,Х,Х,6,Х,Х,Х,Х,Х,
52,32,"Число всех выездов бригад скорой медицинской помощи при остром коронарном синдроме (МКБ-10:  I20.0, I21, I22,  I24)",количество,1 раз в месяц,,,,,,,,,,,,
53,32.1,Из них: число выездов бригад скорой медицинской помощи при остром коронарном синдроме со временем доезда до 20 минут   ,количество,1 раз в месяц,,,,,,,,,,,,
54,33,"Число больных с острым коронарным синдромом с подъемом сегмента ST, доставленных в стационар бригадой скорой медицинской помощи ",человек,1 раз в месяц,47,84,120,153,166,200,257,300,335,362,374,
55,34,"Число больных с острым коронарным синдромом с подъемом сегмента ST, госпитализированных в стационар в срок до 12 часов от начала боли ",человек,1 раз в месяц,36,81,116,153,175,211,269,313,354,383,398,
56,34.1,"Из них: число больных с острым коронарным синдромом с подъемом сегмента ST, госпитализированных в стационар в сроки менее 2 часов от начала боли",человек,1 раз в месяц,6,19,38,47,53,60,72,80,86,92,93,
57,35,"Среднее время ""симптом - баллон"" для больных с острым коронарным синдромом с подъемом сегмента ST, поступивших в стационар до 12 часов от начала боли, которым были выполнены экстренные (первичные) чрескожные коронарные вмешательства",минуты,1 раз в месяц,71,71,71,71,71,71,71,71,71,71,71,
58,35.1,"Среднее время ""симптом - звонок СМП""",минуты,1 раз в месяц,37,37,37,37,37,37,37,37,37,37,37,
59,35.2,"Среднее время ""звонок СМП - баллон""",минуты,1 раз в месяц,34,34,34,34,34,34,34,34,34,34,34,
60,36,"Число больных с острым коронарным синдромом, поступивших в стационары субъекта",человек,1 раз в месяц,63,130,200,264,316,397,464,545,617,684,758,
61,36.1," Из них: число больных с острым коронарным синдромом, поступивших в профильные отделения (региональные сосудистые центры и первичные сосудистые отделения) субъекта",человек,1 раз в месяц,63,130,200,264,316,397,464,545,617,684,758,
62,36.2,"число больных с острым коронарным синдромом, осложненном кардиогенным шоком, поступивших в стационары субъкта",человек,1 раз в месяц,2,9,14,18,21,27,31,34,37,40,40,
63,36.2.1,"из них: число больных с острым коронарным синдромом с подъемом сегмента ST, осложненном кардиогенным шоком, поступивших в стационары субъкта",человек,1 раз в месяц,2,9,12,16,19,25,29,32,35,37,37,
64,36.2.2,"число больных с острым коронарным синдромом без подъема сегмента ST, осложненном кардиогенным шоком, поступивших в стационары субъкта",человек,1 раз в месяц,,,2,2,2,2,2,2,2,3,3,
65,36.3,"число больных с острым коронарным синдромом с подъемом сегмента ST, поступивших в стационары субъкта",человек,1 раз в месяц,50,103,149,189,215,266,309,357,406,441,487,
66,36.4,"число больных с острым коронарным синдромом без подъема сегмента ST, поступивших в стационары субъкта",человек,1 раз в месяц,13,27,51,75,101,131,155,188,211,243,271,
67,36.4.1,"из них: число больных с острым коронарным синдромом без подъема сегмента ST высокого риска (GRACE ≥ 140), поступивших в стационары субъкта",человек,1 раз в месяц,12,24,42,62,83,105,120,140,162,190,213,
68,36.4.2,"число больных с острым коронарным синдромом без подъема сегмента ST невысокого риска (GRACE < 140), поступивших в стационары субъкта",человек,1 раз в месяц,1,3,9,13,18,26,35,48,49,53,58,
69,37,"Число больных с острым коронарным синдромом, переведенных из первичного сосудистого отделения в региональный сосудистый центр, которым выполнены чрескожные коронарные вмешательства ",человек,1 раз в месяц,2,7,18,28,38,51,63,67,80,90,93,
70,38,"Число больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнен тромболизис, всего",человек,1 раз в месяц,,,,,,,,,,,,
71,38.1,Из них: на догоспитальном этапе,человек,1 раз в месяц,,,,,,,,,,,,
72,39,"Число ангиопластик коронарных артерий, проведенных в стационарах субъекта, всего",количество,1 раз в месяц,84,153,240,324,406,505,606,719,847,944,1063,
73,39.1,"Из них: число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом (нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,62,110,170,229,275,342,399,477,545,603,673,
74,39.1.1,"Из них: число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом без подъема сегмента ST в(нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,11,24,43,65,89,112,133,163,183,210,235,
75,39.1.1.1,"Из них: число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом без подъема сегмента ST высокого риска (GRACE ≥ 140) (нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,10,22,36,54,73,89,104,121,140,165,186,
76,39.1.1.2,"число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом без подъема сегмента ST невысокого риска (GRACE < 140) (нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,1,2,7,11,16,23,29,42,43,45,49,
77,39.1.2,"Число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом с подъемом сегмента ST (нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,51,86,127,164,186,230,266,314,362,393,438,
78,39.1.2.1,"из них: число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом с подъемом сегмента ST, поступивших в стационар до 12 часов от начала боли ",количество,1 раз в месяц,34,74,109,141,161,194,225,269,308,333,371,
79,39.1.2.2,"число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом с подъемом сегмента ST в течение 24 часов от момента введения тромболитического препарата ",количество,1 раз в месяц,37,77,114,149,170,207,242,286,329,354,394,
80,39.1.3,"Число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом, осложненном кардиогенным шоком ",количество,1 раз в месяц,2,9,11,14,15,21,24,26,28,30,32,
81,39.2,"Число ангиопластик коронарных артерий, проведенных больным  с хронической ИБС (без учета больных, которым выполнено лечение в рамках ОКС)",количество,1 раз в месяц,22,43,70,95,131,163,207,242,302,341,390,
82,40,"Число проведенных операций  аорто-коронарного шунтирования на территории субъекта, всего",количество,1 раз в месяц,0,0,0,0,0,0,0,0,0,0,0,
83,40.1,"Из них: число  операций,  проведенных больным с острым коронарным синдромом ",количество,1 раз в месяц,,,,,,,,,,,,
84,40.1.1,"из них: число операций, проведенных больным с острым коронарным синдромом с подъемом сегмента ST в первые сутки от начала симптомов",количество,1 раз в месяц,,,,,,,,,,,,
85,40.1.2,"число операций, проведенных больным с острым коронарным синдромом без подъема сегмента ST в первые трое суток госпитализации",количество,1 раз в месяц,,,,,,,,,,,,
86,40.1.3,"число операций, проведенных больным с острым коронарным синдромом, осложненном кардиогенным шоком",количество,1 раз в месяц,,,,,,,,,,,,
87,40.2," Число  операций, проведенных больным  с хронической ИБС (без учета больных, которым выполнено лечение в рамках ОКС) ",количество,1 раз в месяц,,,,,,,,,,,,
88,41,Число проведенных операций - имплантаций  кардиостимулятора ,человек,1 раз в квартал,10,25,50,73,94,114,135,159,181,203,225,
89,42,"Число умерших больных в ствционаре, которым была выполнена ангиопластика коронарных артерий",человек,1 раз в месяц,7,9,13,19,20,25,35,37,44,45,50,
90,42.1,Из них: число умерших с острым коронарным синдромом,человек,1 раз в месяц,7,9,13,19,20,25,35,37,44,45,50,
91,42.1.1,"Из них: число умерших больных с острым коронарным синдромом без подъема сегмента ST  (нестабильная стенокардия, острый и повторный инфаркт миокарда)",человек,1 раз в месяц,0,0,0,2,2,3,5,5,6,6,8,
92,42.1.1.1,"Из них: число умерших больных с острым коронарным синдромом без подъема сегмента ST высокого риска (GRACE ≥ 140) (нестабильная стенокардия, острый и повторный инфаркт миокарда)",человек,1 раз в месяц,,,,1,1,2,4,4,5,5,7,
93,42.1.1.2,"число умерших больных с острым коронарным синдромом без подъема сегмента ST невысокого риска (GRACE < 140) (нестабильная стенокардия, острый и повторный инфаркт миокарда)",человек,1 раз в месяц,,,,1,1,1,1,1,1,1,1,
94,42.1.2,"Число умерших больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнялись экстренные (первичные) чрескожные коронарные вмешательства",человек,1 раз в месяц,7,9,13,17,18,22,30,32,38,39,42,
95,42.1.2.1,"число умерших больных с острым коронарным синдромом с подъемом сегмента ST, поступивших в стационар до 12 часов от начала боли, которым выполнялись экстренные (первичные) чрескожные коронарные вмешательства",человек,1 раз в месяц,3,5,8,12,13,17,25,27,31,32,32,
96,42.1.2.2,"число умерших больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнялись чрескожные коронарные вмешательства в течение 24 часов от моментв введения тромболитического препарата",человек,1 раз в месяц,,,,,,,,,,,,
97,42.1.3,"Число больных с острым коронарным синдромом, осложненным кардиогенным шоком, умерших при проведении чрескожных коронарных вмешательств ",человек,1 раз в месяц,,,,,,,,,,,,
98,42.1.4,"Число умерших больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнен тромболизис (на догоспитальном и госпитальном этапах)",человек,1 раз в месяц,,,,,,,,,,,,
99,42.1.4.1,"Их них: число умерших больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнен тромболизис на догоспитальном этапе",человек,1 раз в месяц,,,,,,,,,,,,
100,43,"Число умерших больных в стационаре,  которым была проведена операция  аорто-коронарного шунтирования ",человек,1 раз в месяц,,,,,,,,,,,,
101,43.1,Из них: число умерших с острым коронарным синдромом ,человек,1 раз в месяц,,,,,,,,,,,,
102,43.1.1,"Из них: число  больных с острым коронарным синдромом с подъемом сегмента ST, умерших при операции коронарного шунтирования, выполненного в первые сутки от начала симптомов ",человек,1 раз в месяц,,,,,,,,,,,,
103,43.1.2,"число  больных с острым коронарным синдромом без подъема сегмента ST, умерших при операции коронарного шунтирования, выполненного в первые трое суток госпитализации ",человек,1 раз в месяц,,,,,,,,,,,,
104,43.1.3,"число  больных с острым коронарным синдромом, осложненным кардиогенным шоком, умерших при операции коронарного шунтирования,",человек,1 раз в месяц,,,,,,,,,,,,
105,44,"Число больных с острым коронарным синдромом (МКБ-10:  I20.0, I21, I22,  I24), умерших за весь период госпитализации",человек,1 раз в месяц,8,10,17,25,28,34,45,48,55,57,64,
106,44.1,Из них: Число умерших больных с острым коронарным синдромом   с подъемом сегмента ST,человек,1 раз в месяц,8,10,14,19,19,24,35,38,45,46,52,
107,44.2,Число умерших больных с острым коронарным синдромом   без подъема сегмента ST,человек,1 раз в месяц,0,0,3,6,9,10,10,10,10,11,12,
108,44.2.1,Из них: число умерших больных с острым коронарным синдромом   без подъема сегмента ST в подгруппе высокого риска,человек,1 раз в месяц,,,3,5,5,6,6,6,6,7,8,
109,44.2.2,число умерших больных с острым коронарным синдромом   без подъема сегмента ST в подгруппе невысокого риска,человек,1 раз в месяц,,,,1,4,4,4,4,4,4,4,
110,44.3,"Число умерших больных с острым коронарным синдромом, осложненном кардиогенным шоком",человек,1 раз в месяц,1,3,6,8,9,12,15,16,17,18,19,
111,44.3.1,"Из них: число умерших больных с острым коронарным синдромом с подъемом сегмента ST, осложненном кардиогенным шоком",человек,1 раз в месяц,1,3,4,6,7,10,13,14,15,16,16,
112,44.3.2,"число умерших больных с острым коронарным синдромом без подъема сегмента ST, осложненном кардиогенным шоком",человек,1 раз в месяц,,,2,2,2,2,2,2,2,2,3,
113,45,"Число больных с острым коронарным синдромом, умерших в первые сутки поступления в стационар",человек,1 раз в месяц,1,2,3,6,9,10,13,14,16,17,19,
114,45.1,"Из них: число больных с острым коронарным синдромом без подъема сегмента ST, умерших в первые сутки поступления в стационар",человек,1 раз в месяц,,,,1,3,3,4,4,5,5,5,
115,45.2,"число больных с острым коронарным синдромом с подъемом сегмента ST, умерших в первые сутки поступления в стационар",человек,1 раз в месяц,1,2,3,5,6,7,9,10,11,12,14,
116,46,"Число патологоанатомических и судебно-медицинских вскрытий больных с острым коронарным синдромом, умерших в первые сутки поступления в стационар",количество,1 раз в месяц,1,2,3,6,9,10,13,14,16,17,19,
117,46.1,Из них;число расхождений диагнозов,количество,1 раз в месяц,,,,,,,,,,,,
118,47,"Число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром (МКБ-10:  I20.0, I21, I22,  I24)",человек,1 раз в месяц,63,129,200,264,316,397,464,544,617,684,758,
119,47.1,"Из них: число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром с подъемом сегмента ST",человек,1 раз в месяц,50,103,150,189,215,266,309,356,406,441,487,
120,47.2,"число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром без подъема сегмента ST",человек,1 раз в месяц,13,26,50,75,101,131,155,188,211,243,271,
121,47.2.1,"Из них: число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром без подъема сегмента ST высокого риска (GRACE ≥ 140)",человек,1 раз в месяц,12,24,42,62,83,105,120,140,162,190,213,
122,47.2.2,"число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром без подъема сегмента ST невысокого риска (GRACE <140)",человек,1 раз в месяц,1,2,8,13,18,26,35,48,49,53,58,
123,47.3,"Число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром, осложненный кардиогенным шоком ",человек,1 раз в месяц,2,9,14,18,21,24,31,34,37,40,40,
124,47.3.1,"Из них: число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром с подъемом сегмента ST, осложненный кардиогенным шоком ",человек,1 раз в месяц,2,9,12,16,19,22,29,32,35,37,37,
125,47.3.2,"число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром без подъема сегмента ST, осложненный кардиогенным шоком ",человек,1 раз в месяц,,,2,2,2,2,2,2,2,3,3,
126,48,"Число больных с  острым и повторным инфарктом миокарда, умерших в стационарах субъекта    
",человек,1 раз в месяц,8,10,17,25,28,34,45,48,55,57,64,
127,49,"Число выбывших (выписано+умерло) больных с  острым и повторным инфарктом миокарда  из стационаров субъекта  
",человек,1 раз в месяц,63,109,175,214,246,305,372,421,479,532,590,
128,50,"Число больных с  острым и повторным инфарктом миокарда, умерших вне стационара
",человек,1 раз в месяц,,,,,,,,,,,,
129,50.1,"Из них: число патологоанатомических и судебно-медицинских вскрытий больных с острым и повторным инфарктом миокарда, умерших  вне стационара",количество,1 раз в месяц,,,,,,,,,,,,
130,50.1.1,Из них: число расхождений диагнозов ,количество,1 раз в месяц,,,,,,,,,,,,
131,51,"Число  больных с  острым и повторным инфарктом миокарда, умерших  в первичных сосудистых отделениях    ",человек,1 раз в месяц,,,,,,,,,,,,
132,52,"Число выбывших (выписано+умерло) больных с острым и повторным инфарктом миокарда из первичных сосудистых отделений
",человек,1 раз в месяц,,,,,,,,,,,,
133,53,"Число  больных с  острым и повторным инфарктом миокарда, умерших  в региональных сосудистых центрах  
",человек,1 раз в месяц,8,10,17,25,28,34,45,48,55,57,64,
134,54,"Число выбывших (выписано+умерло) больных с  острым и повторным инфарктом миокарда из региональных сосудистых центров
",человек,1 раз в месяц,63,109,175,214,246,305,372,421,479,532,590,
135,Показатели для раздела 4. Мониторинг некоторых показателей,,,,,,,,,,,,,,,
136,55,"Число больных ишемической болезнью сердца, выявленных впервые (МКБ-10: I20-I25)",человек,1 раз в месяц,,,,,,,,,,,,
137,56,Число больных с нестабильной стенокардией (МКБ-10: I20.0),человек,1 раз в месяц,,,,,,,,,,,,
138,57,"Число пациентов с инфарктом миокарда (МКБ-10: I21, I22) и с постинфарктным кардмосклерозом (I25.2, I25.8), зарегистрированные в текущем году",человек,1 раз в месяц,,,,,,,,,,,,
139,58,Число больных с другими формами острых ишемических болезней сердца (МКБ-10: I24),человек,1 раз в месяц,,,,,,,,,,,,
140,59,"Число больных, умерших от основной причины ""Ишемическая болезнь сердца"" (МКБ-10: I20-I25)",человек,1 раз в месяц,8,10,17,25,31,37,48,51,59,63,72,
141,59.1,Из них: число умерших в трудоспособном возрасте,человек,1 раз в месяц,2,3,5,5,5,7,7,8,10,10,10,
142,60,"Число патологоанатомических и судебно-медицинских вскрытий больных, умерших  от ишемической болезни сердца (МКБ-10: I20-I25)",количество,1 раз в месяц,8,10,17,25,29,35,46,49,57,66,72,
143,60.1,"Из них, число расхождений диагнозов",количество,1 раз в месяц,,,,,,,,,,,,
144,61,Число умерших больных с острым коронарным синдромом   (МКБ-10: I20.0; I21; I22; I24),человек,1 раз в месяц,8,10,17,25,28,34,45,48,55,57,64,
145,61.1,Из них: число умерших в трудоспособном возрасте ,человек,1 раз в месяц,2,3,5,5,5,7,7,8,10,10,10,
146,62,"Число умерших больных с острым или повторным инфарктом миокарда (МКБ-10: I21, I22)",человек,1 раз в месяц,8,10,17,25,28,34,45,48,55,57,64,
147,62.1,"Из них, число умерших в трудоспособном возрасте ",человек,1 раз в месяц,2,3,5,5,5,7,7,8,10,10,10,
148,63,Число сохраненных жизней,человек,1 раз в месяц,,,,,,,,,,,,
149,"""Число сохраненных жизней"" рассчитывается как разница между числом умерших от указанной причины за отчетный период прошлого года и числа умерших от указанной причины за отчетный период этого года",,,,,,,,,,,,,,,
