,Мониторинг реализации мероприятий по снижению смертности от ишемической болезни сердца,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
10,1.2,"буклеты, брошюры по проблеме",единиц,1 раз в квартал,Х,Х,7,Х,Х,12,Х,Х,12,Х,Х,
11,1.2.1,"тираж буклетов, брошюр по проблеме",единиц,1 раз в квартал,Х,Х,700,Х,Х,1800,Х,Х,3110,Х,Х,
12,1.3,"социальная реклама, в том числе видеоролики ",единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
13,1.4,телевизионные передачи,единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
14,1.5,анкетирование населения,единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
15,1.5.1,число анкет,единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
16,1.6, другое,единиц,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
17,2,"Число граждан, охваченных кампанией и мотивированных на ведение здорового образа жизни ",человек,1 раз в полугодие,Х,Х,Х,Х,Х,15790,Х,Х,Х,Х,Х,
18,3,"Число лиц, отказавшихся от курения по данным опроса  граждан, охваченных кампанией по пропаганде здорового образа жизни",человек,1 раз в полугодие,Х,Х,Х,Х,Х,6,Х,Х,Х,Х,Х,
19,4,"Число больных артериальной гипертонией, достигших целевого уровня АД ≤ 140/90 мм рт ст. по данным анализа в 10 поликлиниках суммарно не менее 600 амбулаторных карт больных артериальной гипертонией группой независимых экспертов под руководством главного терапевта или главного кардиолога региона и центров здоровья/центров медицинской профилактики  ",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
20,5,Число проанализированных амбулаторных карт больных артериальной гипертонией группой независимых экспертов под руководством главного терапевта или главного кардиолога региона и центров здоровья/центров медицинской профилактики (в целом не менее 600),количество,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
21,Показатели для раздела 2. Вторичная профилактика ИБС,,,,,,,,,,,,,,,
22,6,"Число больных, состоящих на  диспансерном наблюдении по поводу ишемической болезни сердца (МКБ-10: I20-I25). ",человек,1 раз в месяц,379,687,1106,1523,1710,1762,2302,2603,3253,3406,3467,
23,7,Общеее число зарегистрированных больных с ишемической болезнью сердца (МКБ-10: I20- I25),человек,1 раз в месяц,412,747,1241,1709,1908,2001,2595,2921,3655,3883,4009,
24,8,"Число больных, взятых под диспансерное наблюдение по поводу ишемической болезнью сердца и прошедших обучение в школах пациентов (МКБ-10: I20-I25)",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
25,9,"Число пациентов, перенесших острый коронарный синдром (МКБ-10: I20.0; I21; I22; I24), а также постинфарктный кардиосклероз, зарегистрированный в текщем году (I25.2, I25.8 ), взятых под диспансерное наблюдение по поводу данного заболевания",человек,1 раз в месяц,17,23,36,44,52,82,88,90,91,94,95,
26,10,"Число зарегистрированных пациентов, перенесших острый коронарный синдром (МКБ-10: I20.0; I21; I22; I24) , а также постинфарктный кардиосклероз, зарегистрированный в текщем году (I25.2, I25.8 ).",случаев,1 раз в месяц,17,23,36,44,52,82,88,90,96,99,102,
27,11,"Число больных, перенесших острый коронарный синдром   (МКБ-10: I20.0; I21; I22; I24) и получивших реабилитационную помощь на первом этапе медицинской кардиореабилитации",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
28,11.1,Из них: число больных в трудоспособном возрасте ,человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
29,12,"Число  больных, перенесших острый коронарный синдром   (МКБ-10: I20.0; I21; I22; I24) и получивших реабилитационную помощь на втором этапе медицинской кардиореабилитации",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
30,12.1,Из них: число  больных в трудоспособном возрасте ,человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
31,13,"Число  больных, перенесших острый коронарный синдром   (МКБ-10: I20.0; I21; I22; I24) и получивших реабилитационную помощь на третьем этапе медицинской кардиореабилитации",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
32,13.1,Из них: число  больных в трудоспособном возрасте ,человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
33,Показатели для раздела 3. Оказание медицинской помощи при ИБС,,,,,,,,,,,,,,,
34,14,Число кардиологических коек в субъекте ,количество,1 раз в квартал,Х,Х,43,Х,Х,45,Х,Х,45,Х,Х,
35,15,Число кардиохирургических коек в субъекте,количество,1 раз в квартал,Х,Х,,Х,Х,,Х,Х,,Х,Х,
36,16,Число коек сосудистой хирургии в субъекте,количество,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
37,17,Число врачей кардиологов в субъекте,человек,1 раз в полугодие,Х,Х,Х,Х,Х,4,Х,Х,Х,Х,Х,
38,18,Число сердечно-сосудистых хирургов в субъекте,человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
39,19,Число врачей по рентгенэндоваскулярным диагностике и лечению в субъекте,человек,1 раз в полугодие,Х,Х,Х,Х,Х,3,Х,Х,Х,Х,Х,
40,20,"Число штатных должностей врачей-кардиологов в подразделениях, оказывающих медицинскую помощь в амбулаторных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,3.25,Х,Х,Х,Х,Х,
41,21,"Число занятых должностей врачей-кардиологов в подразделениях, оказывающих медицинскую помощь в амбулаторных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,1.5,Х,Х,Х,Х,Х,
42,22,"Число врачей-кардиологов (физических лиц на занятых должностях) в подразделениях, оказывающих медицинскую помощь в амбулаторных условиях",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
43,23,"Число штатных должностей врачей-кардиологов в  подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,9.75,Х,Х,Х,Х,Х,
44,24,"Число занятых должностей врачей-кардиологов в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,5.75,Х,Х,Х,Х,Х,
45,25,"Число врачей-кардиологов (физических лиц на занятых должностях) в подразделениях, оказывающих медицинскую помощь в стационарных условиях",человек,1 раз в полугодие,Х,Х,Х,Х,Х,3,Х,Х,Х,Х,Х,
46,26,"Число штатных должностей  сердечно-сосудистых хирургов  в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
47,27,"Число занятых должностей сердечно-сосудистых хирургов  в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
48,28,"Число сердечно-сосудистых хирургов (физических лиц на занятых должностях)  в подразделениях, оказывающих медицинскую помощь в стационарных условиях",человек,1 раз в полугодие,Х,Х,Х,Х,Х,,Х,Х,Х,Х,Х,
49,29,"Число штатных должностей врачей по рентгенэндоваскулярным  диагностике и лечению в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,4,Х,Х,Х,Х,Х,
50,30,"Число занятых должностей врачей по рентгенэндоваскулярным  диагностике и лечению в подразделениях, оказывающих медицинскую помощь в стационарных условиях",количество,1 раз в полугодие,Х,Х,Х,Х,Х,4,Х,Х,Х,Х,Х,
51,31,"Число врачей по рентгенэндоваскулярным диагностике и лечению  (физических лиц на занятых должностях) в подразделениях, оказывающих медицинскую помощь в стационарных условиях",человек,1 раз в полугодие,Х,Х,Х,Х,Х,3,Х,Х,Х,Х,Х,
52,32,"Число всех выездов бригад скорой медицинской помощи при остром коронарном синдроме (МКБ-10:  I20.0, I21, I22,  I24)",количество,1 раз в месяц,,,,,,,,,,,,
53,32.1,Из них: число выездов бригад скорой медицинской помощи при остром коронарном синдроме со временем доезда до 20 минут   ,количество,1 раз в месяц,,,,,,,,,,,,
54,33,"Число больных с острым коронарным синдромом с подъемом сегмента ST, доставленных в стационар бригадой скорой медицинской помощи ",человек,1 раз в месяц,,,,,,,,,,,,
55,34,"Число больных с острым коронарным синдромом с подъемом сегмента ST, госпитализированных в стационар в срок до 12 часов от начала боли ",человек,1 раз в месяц,,,,,,,,,,,,
56,34.1,"Из них: число больных с острым коронарным синдромом с подъемом сегмента ST, госпитализированных в стационар в сроки менее 2 часов от начала боли",человек,1 раз в месяц,,,,,,,,,,,,
57,35,"Среднее время ""симптом - баллон"" для больных с острым коронарным синдромом с подъемом сегмента ST, поступивших в стационар до 12 часов от начала боли, которым были выполнены экстренные (первичные) чрескожные коронарные вмешательства",минуты,1 раз в месяц,0,0,0,0,0,0,0,0,0,0,0,
58,35.1,"Среднее время ""симптом - звонок СМП""",минуты,1 раз в месяц,,,,,,,,,,,,
59,35.2,"Среднее время ""звонок СМП - баллон""",минуты,1 раз в месяц,,,,,,,,,,,,
60,36,"Число больных с острым коронарным синдромом, поступивших в стационары субъекта",человек,1 раз в месяц,37,76,120,186,264,318,355,388,426,458,487,
61,36.1," Из них: число больных с острым коронарным синдромом, поступивших в профильные отделения (региональные сосудистые центры и первичные сосудистые отделения) субъекта",человек,1 раз в месяц,37,76,120,186,264,318,355,388,426,458,487,
62,36.2,"число больных с острым коронарным синдромом, осложненном кардиогенным шоком, поступивших в стационары субъкта",человек,1 раз в месяц,0,0,0,0,0,0,0,0,0,0,0,
63,36.2.1,"из них: число больных с острым коронарным синдромом с подъемом сегмента ST, осложненном кардиогенным шоком, поступивших в стационары субъкта",человек,1 раз в месяц,,,,,,,,,,,,
64,36.2.2,"число больных с острым коронарным синдромом без подъема сегмента ST, осложненном кардиогенным шоком, поступивших в стационары субъкта",человек,1 раз в месяц,,,,,,,,,,,,
65,36.3,"число больных с острым коронарным синдромом с подъемом сегмента ST, поступивших в стационары субъкта",человек,1 раз в месяц,5,20,31,40,54,70,82,96,106,114,123,
66,36.4,"число больных с острым коронарным синдромом без подъема сегмента ST, поступивших в стационары субъкта",человек,1 раз в месяц,32,56,89,146,210,248,273,292,320,344,364,
67,36.4.1,"из них: число больных с острым коронарным синдромом без подъема сегмента ST высокого риска (GRACE ≥ 140), поступивших в стационары субъкта",человек,1 раз в месяц,5,15,27,36,44,60,68,73,82,92,97,
68,36.4.2,"число больных с острым коронарным синдромом без подъема сегмента ST невысокого риска (GRACE < 140), поступивших в стационары субъкта",человек,1 раз в месяц,27,41,62,110,166,188,205,219,238,252,267,
69,37,"Число больных с острым коронарным синдромом, переведенных из первичного сосудистого отделения в региональный сосудистый центр, которым выполнены чрескожные коронарные вмешательства ",человек,1 раз в месяц,3,6,16,22,29,39,45,51,64,68,70,
70,38,"Число больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнен тромболизис, всего",человек,1 раз в месяц,,,2,2,3,3,3,4,6,7,9,
71,38.1,Из них: на догоспитальном этапе,человек,1 раз в месяц,,,,,,,,,,,,
72,39,"Число ангиопластик коронарных артерий, проведенных в стационарах субъекта, всего",количество,1 раз в месяц,0,0,0,3,3,3,3,4,6,6,8,
73,39.1,"Из них: число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом (нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,0,0,0,3,3,3,3,4,6,6,8,
74,39.1.1,"Из них: число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом без подъема сегмента ST в(нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,0,0,0,3,3,3,3,4,6,6,8,
75,39.1.1.1,"Из них: число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом без подъема сегмента ST высокого риска (GRACE ≥ 140) (нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,,,,,,,,,,,,
76,39.1.1.2,"число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом без подъема сегмента ST невысокого риска (GRACE < 140) (нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,,,,3,3,3,3,4,6,6,8,
77,39.1.2,"Число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом с подъемом сегмента ST (нестабильная стенокардия, острый и повторный инфаркт миокарда)",количество,1 раз в месяц,,,,,,,,,,,,
78,39.1.2.1,"из них: число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом с подъемом сегмента ST, поступивших в стационар до 12 часов от начала боли ",количество,1 раз в месяц,,,,,,,,,,,,
79,39.1.2.2,"число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом с подъемом сегмента ST в течение 24 часов от момента введения тромболитического препарата ",количество,1 раз в месяц,,,,,,,,,,,,
80,39.1.3,"Число ангиопластик коронарных артерий, проведенных больным с острым коронарным синдромом, осложненном кардиогенным шоком ",количество,1 раз в месяц,,,,,,,,,,,,
81,39.2,"Число ангиопластик коронарных артерий, проведенных больным  с хронической ИБС (без учета больных, которым выполнено лечение в рамках ОКС)",количество,1 раз в месяц,,,,,,,,,,,,
82,40,"Число проведенных операций  аорто-коронарного шунтирования на территории субъекта, всего",количество,1 раз в месяц,0,0,0,0,0,0,0,0,0,0,0,0
83,40.1,"Из них: число  операций,  проведенных больным с острым коронарным синдромом ",количество,1 раз в месяц,,,,,,,,,,,,
84,40.1.1,"из них: число операций, проведенных больным с острым коронарным синдромом с подъемом сегмента ST в первые сутки от начала симптомов",количество,1 раз в месяц,,,,,,,,,,,,
85,40.1.2,"число операций, проведенных больным с острым коронарным синдромом без подъема сегмента ST в первые трое суток госпитализации",количество,1 раз в месяц,,,,,,,,,,,,
86,40.1.3,"число операций, проведенных больным с острым коронарным синдромом, осложненном кардиогенным шоком",количество,1 раз в месяц,,,,,,,,,,,,
87,40.2," Число  операций, проведенных больным  с хронической ИБС (без учета больных, которым выполнено лечение в рамках ОКС) ",количество,1 раз в месяц,,,,,,,,,,,,
88,41,Число проведенных операций - имплантаций  кардиостимулятора ,человек,1 раз в квартал,,,,,,,,,,,,
89,42,"Число умерших больных в ствционаре, которым была выполнена ангиопластика коронарных артерий",человек,1 раз в месяц,,,,,,,,,,,,
90,42.1,Из них: число умерших с острым коронарным синдромом,человек,1 раз в месяц,0,0,0,0,0,0,0,0,0,0,0,
91,42.1.1,"Из них: число умерших больных с острым коронарным синдромом без подъема сегмента ST  (нестабильная стенокардия, острый и повторный инфаркт миокарда)",человек,1 раз в месяц,0,0,0,0,0,0,0,0,0,0,0,
92,42.1.1.1,"Из них: число умерших больных с острым коронарным синдромом без подъема сегмента ST высокого риска (GRACE ≥ 140) (нестабильная стенокардия, острый и повторный инфаркт миокарда)",человек,1 раз в месяц,,,,,,,,,,,,
93,42.1.1.2,"число умерших больных с острым коронарным синдромом без подъема сегмента ST невысокого риска (GRACE < 140) (нестабильная стенокардия, острый и повторный инфаркт миокарда)",человек,1 раз в месяц,,,,,,,,,,,,
94,42.1.2,"Число умерших больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнялись экстренные (первичные) чрескожные коронарные вмешательства",человек,1 раз в месяц,,,,,,,,,,,,
95,42.1.2.1,"число умерших больных с острым коронарным синдромом с подъемом сегмента ST, поступивших в стационар до 12 часов от начала боли, которым выполнялись экстренные (первичные) чрескожные коронарные вмешательства",человек,1 раз в месяц,,,,,,,,,,,,
96,42.1.2.2,"число умерших больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнялись чрескожные коронарные вмешательства в течение 24 часов от моментв введения тромболитического препарата",человек,1 раз в месяц,,,,,,,,,,,,
97,42.1.3,"Число больных с острым коронарным синдромом, осложненным кардиогенным шоком, умерших при проведении чрескожных коронарных вмешательств ",человек,1 раз в месяц,,,,,,,,,,,,
98,42.1.4,"Число умерших больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнен тромболизис (на догоспитальном и госпитальном этапах)",человек,1 раз в месяц,,,,,,,,,,,,
99,42.1.4.1,"Их них: число умерших больных с острым коронарным синдромом с подъемом сегмента ST, которым выполнен тромболизис на догоспитальном этапе",человек,1 раз в месяц,,,,,,,,,,,,
100,43,"Число умерших больных в стационаре,  которым была проведена операция  аорто-коронарного шунтирования ",человек,1 раз в месяц,,,,,,,,,,,,
101,43.1,Из них: число умерших с острым коронарным синдромом ,человек,1 раз в месяц,,,,,,,,,,,,
102,43.1.1,"Из них: число  больных с острым коронарным синдромом с подъемом сегмента ST, умерших при операции коронарного шунтирования, выполненного в первые сутки от начала симптомов ",человек,1 раз в месяц,,,,,,,,,,,,
103,43.1.2,"число  больных с острым коронарным синдромом без подъема сегмента ST, умерших при операции коронарного шунтирования, выполненного в первые трое суток госпитализации ",человек,1 раз в месяц,,,,,,,,,,,,
104,43.1.3,"число  больных с острым коронарным синдромом, осложненным кардиогенным шоком, умерших при операции коронарного шунтирования,",человек,1 раз в месяц,,,,,,,,,,,,
105,44,"Число больных с острым коронарным синдромом (МКБ-10:  I20.0, I21, I22,  I24), умерших за весь период госпитализации",человек,1 раз в месяц,4,6,8,10,13,17,19,21,26,25,26,
106,44.1,Из них: Число умерших больных с острым коронарным синдромом   с подъемом сегмента ST,человек,1 раз в месяц,,2,3,5,5,9,10,12,16,15,15,
107,44.2,Число умерших больных с острым коронарным синдромом   без подъема сегмента ST,человек,1 раз в месяц,4,4,5,5,8,8,9,9,10,10,11,
108,44.2.1,Из них: число умерших больных с острым коронарным синдромом   без подъема сегмента ST в подгруппе высокого риска,человек,1 раз в месяц,4,4,5,5,5,5,5,5,6,6,7,
109,44.2.2,число умерших больных с острым коронарным синдромом   без подъема сегмента ST в подгруппе невысокого риска,человек,1 раз в месяц,,,,,3,3,4,4,4,4,4,
110,44.3,"Число умерших больных с острым коронарным синдромом, осложненном кардиогенным шоком",человек,1 раз в месяц,0,0,0,0,0,0,0,0,0,0,0,
111,44.3.1,"Из них: число умерших больных с острым коронарным синдромом с подъемом сегмента ST, осложненном кардиогенным шоком",человек,1 раз в месяц,,,,,,,,,,,,
112,44.3.2,"число умерших больных с острым коронарным синдромом без подъема сегмента ST, осложненном кардиогенным шоком",человек,1 раз в месяц,,,,,,,,,,,,
113,45,"Число больных с острым коронарным синдромом, умерших в первые сутки поступления в стационар",человек,1 раз в месяц,1,1,2,3,4,5,5,6,7,7,7,
114,45.1,"Из них: число больных с острым коронарным синдромом без подъема сегмента ST, умерших в первые сутки поступления в стационар",человек,1 раз в месяц,1,1,1,1,2,3,3,3,3,3,3,
115,45.2,"число больных с острым коронарным синдромом с подъемом сегмента ST, умерших в первые сутки поступления в стационар",человек,1 раз в месяц,,,1,2,2,2,2,3,4,4,4,
116,46,"Число патологоанатомических и судебно-медицинских вскрытий больных с острым коронарным синдромом, умерших в первые сутки поступления в стационар",количество,1 раз в месяц,1,1,2,3,4,5,5,6,7,7,7,
117,46.1,Из них;число расхождений диагнозов,количество,1 раз в месяц,,,,,,,,,,,,
118,47,"Число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром (МКБ-10:  I20.0, I21, I22,  I24)",человек,1 раз в месяц,30,70,120,186,264,318,355,388,426,458,487,
119,47.1,"Из них: число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром с подъемом сегмента ST",человек,1 раз в месяц,5,18,31,40,54,70,82,96,106,114,123,
120,47.2,"число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром без подъема сегмента ST",человек,1 раз в месяц,25,52,89,146,210,248,273,292,320,344,364,
121,47.2.1,"Из них: число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром без подъема сегмента ST высокого риска (GRACE ≥ 140)",человек,1 раз в месяц,5,15,27,36,44,60,68,73,82,92,97,
122,47.2.2,"число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром без подъема сегмента ST невысокого риска (GRACE <140)",человек,1 раз в месяц,20,37,62,110,166,188,205,219,238,252,267,
123,47.3,"Число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром, осложненный кардиогенным шоком ",человек,1 раз в месяц,0,0,0,0,0,0,0,0,0,0,0,
124,47.3.1,"Из них: число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром с подъемом сегмента ST, осложненный кардиогенным шоком ",человек,1 раз в месяц,,,,,,,,,,,,
125,47.3.2,"число выбывших (выписано+умерло) больных, перенесших острый коронарный синдром без подъема сегмента ST, осложненный кардиогенным шоком ",человек,1 раз в месяц,,,,,,,,,,,,
126,48,"Число больных с  острым и повторным инфарктом миокарда, умерших в стационарах субъекта    
",человек,1 раз в месяц,4,6,8,9,12,16,18,20,25,24,25,
127,49,"Число выбывших (выписано+умерло) больных с  острым и повторным инфарктом миокарда  из стационаров субъекта  
",человек,1 раз в месяц,12,35,77,80,100,132,169,198,198,206,218,
128,50,"Число больных с  острым и повторным инфарктом миокарда, умерших вне стационара
",человек,1 раз в месяц,1,3,4,8,10,11,11,11,11,11,18,
129,50.1,"Из них: число патологоанатомических и судебно-медицинских вскрытий больных с острым и повторным инфарктом миокарда, умерших  вне стационара",количество,1 раз в месяц,1,3,4,8,10,11,11,11,11,11,18,
130,50.1.1,Из них: число расхождений диагнозов ,количество,1 раз в месяц,,,,,,,,,,,,
131,51,"Число  больных с  острым и повторным инфарктом миокарда, умерших  в первичных сосудистых отделениях    ",человек,1 раз в месяц,4,6,8,9,12,16,18,20,25,24,25,
132,52,"Число выбывших (выписано+умерло) больных с острым и повторным инфарктом миокарда из первичных сосудистых отделений
",человек,1 раз в месяц,12,35,77,80,100,132,169,198,198,206,218,
133,53,"Число  больных с  острым и повторным инфарктом миокарда, умерших  в региональных сосудистых центрах  
",человек,1 раз в месяц,,,,,,,,,,,,
134,54,"Число выбывших (выписано+умерло) больных с  острым и повторным инфарктом миокарда из региональных сосудистых центров
",человек,1 раз в месяц,,,,,,,,,,,,
135,Показатели для раздела 4. Мониторинг некоторых показателей,,,,,,,,,,,,,,,
136,55,"Число больных ишемической болезнью сердца, выявленных впервые (МКБ-10: I20-I25)",человек,1 раз в месяц,19,47,66,99,124,131,143,147,198,201,207,
137,56,Число больных с нестабильной стенокардией (МКБ-10: I20.0),человек,1 раз в месяц,,,,,,,,,,,,
138,57,"Число пациентов с инфарктом миокарда (МКБ-10: I21, I22) и с постинфарктным кардмосклерозом (I25.2, I25.8), зарегистрированные в текущем году",человек,1 раз в месяц,17,23,36,44,52,82,88,90,96,99,102,
139,58,Число больных с другими формами острых ишемических болезней сердца (МКБ-10: I24),человек,1 раз в месяц,,,,,,,,,,,,
140,59,"Число больных, умерших от основной причины ""Ишемическая болезнь сердца"" (МКБ-10: I20-I25)",человек,1 раз в месяц,23,38,58,86,106,126,142,159,170,181,218,
141,59.1,Из них: число умерших в трудоспособном возрасте,человек,1 раз в месяц,2,5,6,9,10,11,14,15,15,16,17,
142,60,"Число патологоанатомических и судебно-медицинских вскрытий больных, умерших  от ишемической болезни сердца (МКБ-10: I20-I25)",количество,1 раз в месяц,21,35,52,74,91,105,120,140,146,154,159,
143,60.1,"Из них, число расхождений диагнозов",количество,1 раз в месяц,,,,,,,,,,,,
144,61,Число умерших больных с острым коронарным синдромом   (МКБ-10: I20.0; I21; I22; I24),человек,1 раз в месяц,5,9,12,18,23,28,30,32,37,36,44,
145,61.1,Из них: число умерших в трудоспособном возрасте ,человек,1 раз в месяц,,2,3,3,3,3,3,3,3,3,4,
146,62,"Число умерших больных с острым или повторным инфарктом миокарда (МКБ-10: I21, I22)",человек,1 раз в месяц,5,9,12,17,22,27,29,31,36,35,43,
147,62.1,"Из них, число умерших в трудоспособном возрасте ",человек,1 раз в месяц,,2,3,3,3,3,3,3,3,3,4,
148,63,Число сохраненных жизней,человек,1 раз в месяц,,,,,,,,,,,,
149,"""Число сохраненных жизней"" рассчитывается как разница между числом умерших от указанной причины за отчетный период прошлого года и числа умерших от указанной причины за отчетный период этого года",,,,,,,,,,,,,,,
